"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"11th and Columbia Playground"|"2741230"|"Park"|"Philadelphia"|"PA"|"395843N"|"0750905W"|"72"|"Philadelphia"|""|"01-OCT-2012"
"12th & Cambria Playground"|"2741231"|"Park"|"Philadelphia"|"PA"|"395949N"|"0750857W"|"89"|"Philadelphia"|""|"01-OCT-2012"
"12th & Cambria Playground"|"2741330"|"Park"|"Philadelphia"|"PA"|"395948N"|"0750857W"|"89"|"Philadelphia"|""|"01-OCT-2012"
"20th and Tioga Ballfield"|"2741245"|"Park"|"Philadelphia"|"PA"|"400028N"|"0750943W"|"125"|"Germantown"|""|"01-OCT-2012"
"22nd and Catharine Park"|"2741246"|"Park"|"Philadelphia"|"PA"|"395632N"|"0751046W"|"39"|"Philadelphia"|""|"01-OCT-2012"
"22nd and Ontario Playground"|"2741247"|"Park"|"Philadelphia"|"PA"|"400023N"|"0750956W"|"138"|"Germantown"|""|"01-OCT-2012"
"29th and Chalmers Park"|"2741248"|"Park"|"Philadelphia"|"PA"|"400000N"|"0751045W"|"148"|"Philadelphia"|""|"01-OCT-2012"
"33rd and Wallace Playground"|"2741249"|"Park"|"Philadelphia"|"PA"|"395755N"|"0751127W"|"105"|"Philadelphia"|""|"01-OCT-2012"
"37th &and Mount Vernon Playground"|"2741250"|"Park"|"Philadelphia"|"PA"|"395750N"|"0751147W"|"105"|"Philadelphia"|""|"01-OCT-2012"
"39th and Olive Playground"|"2741252"|"Park"|"Philadelphia"|"PA"|"395757N"|"0751203W"|"105"|"Philadelphia"|""|"01-OCT-2012"
"3rd and Norris Playground"|"2741255"|"Park"|"Philadelphia"|"PA"|"395852N"|"0750821W"|"39"|"Philadelphia"|""|"01-OCT-2012"
"48th and Woodland Playground"|"2347314"|"Park"|"Philadelphia"|"PA"|"395630N"|"0751238W"|"79"|"Philadelphia"|""|"23-AUG-2007"
"75th and Chelwynde Park"|"2741257"|"Park"|"Philadelphia"|"PA"|"395437N"|"0751435W"|"30"|"Philadelphia"|""|"01-OCT-2012"
"8th and Diamond Playground"|"2741258"|"Park"|"Philadelphia"|"PA"|"395859N"|"0750851W"|"62"|"Philadelphia"|""|"01-OCT-2012"
"Allegheny Square"|"1168174"|"Park"|"Philadelphia"|"PA"|"395910N"|"0750612W"|"26"|"Camden"|""|"02-AUG-1979"
"Allens Lane Park"|"2741274"|"Park"|"Philadelphia"|"PA"|"400305N"|"0751211W"|"335"|"Germantown"|""|"01-OCT-2012"
"American Legion Playground"|"2741279"|"Park"|"Philadelphia"|"PA"|"400107N"|"0750313W"|"30"|"Frankford"|""|"01-OCT-2012"
"Amos Playground"|"2741281"|"Park"|"Philadelphia"|"PA"|"395855N"|"0750937W"|"98"|"Philadelphia"|""|"01-OCT-2012"
"Aramingo Square"|"1207920"|"Park"|"Philadelphia"|"PA"|"395850N"|"0750705W"|"13"|"Camden"|""|"01-MAR-1990"
"Aviator Park"|"2741293"|"Park"|"Philadelphia"|"PA"|"395729N"|"0751019W"|"33"|"Philadelphia"|""|"01-OCT-2012"
"Bainbridge Green"|"2741296"|"Park"|"Philadelphia"|"PA"|"395626N"|"0750857W"|"30"|"Philadelphia"|""|"01-OCT-2012"
"Baker Playground"|"2741297"|"Park"|"Philadelphia"|"PA"|"395838N"|"0751352W"|"128"|"Philadelphia"|""|"01-OCT-2012"
"Bardascino Park"|"2741301"|"Park"|"Philadelphia"|"PA"|"395616N"|"0750936W"|"33"|"Philadelphia"|""|"01-OCT-2012"
"Barnes and Loney Park"|"2347023"|"Park"|"Philadelphia"|"PA"|"400437N"|"0750511W"|"223"|"Frankford"|""|"23-AUG-2007"
"Barry Playground"|"2741303"|"Park"|"Philadelphia"|"PA"|"395457N"|"0751044W"|"16"|"Philadelphia"|""|"01-OCT-2012"
"Bartram Gardens Park"|"1168788"|"Park"|"Philadelphia"|"PA"|"395554N"|"0751243W"|"36"|"Philadelphia"|""|"02-AUG-1979"
"Beck Park"|"2741304"|"Park"|"Philadelphia"|"PA"|"395611N"|"0750847W"|"23"|"Philadelphia"|""|"01-OCT-2012"
"Belfield Playground"|"2347043"|"Park"|"Philadelphia"|"PA"|"400231N"|"0750924W"|"230"|"Germantown"|""|"23-AUG-2007"
"Belmont Park (historical)"|"1206999"|"Park"|"Philadelphia"|"PA"|"400042N"|"0751453W"|"315"|"Germantown"|""|"01-JAN-1990"
"Ben Barkan Park"|"2741305"|"Park"|"Philadelphia"|"PA"|"395714N"|"0751318W"|"105"|"Philadelphia"|""|"01-OCT-2012"
"Benjamin Rush State Park"|"2426089"|"Park"|"Philadelphia"|"PA"|"400710N"|"0745836W"|"125"|"Beverly"|""|"22-APR-2008"
"Benson Park"|"2741306"|"Park"|"Philadelphia"|"PA"|"395825N"|"0750834W"|"33"|"Philadelphia"|""|"01-OCT-2012"
"Binswanger Triangle"|"2741308"|"Park"|"Philadelphia"|"PA"|"395746N"|"0751038W"|"39"|"Philadelphia"|""|"01-OCT-2012"
"Boone Park"|"1208020"|"Park"|"Philadelphia"|"PA"|"400130N"|"0751305W"|"184"|"Germantown"|""|"01-MAR-1990"
"Bradford Park"|"2741311"|"Park"|"Philadelphia"|"PA"|"400300N"|"0750315W"|"102"|"Frankford"|""|"01-OCT-2012"
"Bringhurst Park"|"2741314"|"Park"|"Philadelphia"|"PA"|"400201N"|"0750956W"|"233"|"Germantown"|""|"01-OCT-2012"
"Buckley Park"|"2741316"|"Park"|"Philadelphia"|"PA"|"400424N"|"0751209W"|"381"|"Germantown"|""|"01-OCT-2012"
"Buist Park"|"2741318"|"Park"|"Philadelphia"|"PA"|"395507N"|"0751359W"|"46"|"Philadelphia"|""|"01-OCT-2012"
"Burholme Park"|"1170718"|"Park"|"Philadelphia"|"PA"|"400404N"|"0750525W"|"180"|"Frankford"|""|"02-AUG-1979"
"Burke Playground"|"2741319"|"Park"|"Philadelphia"|"PA"|"395516N"|"0750902W"|"13"|"Philadelphia"|""|"01-OCT-2012"
"CCA Baldi Playground"|"2741299"|"Park"|"Philadelphia"|"PA"|"400533N"|"0750302W"|"128"|"Frankford"|""|"01-OCT-2012"
"Capitolo Playground"|"2741320"|"Park"|"Philadelphia"|"PA"|"395602N"|"0750935W"|"26"|"Philadelphia"|""|"01-OCT-2012"
"Carmella Playground"|"2741327"|"Park"|"Philadelphia"|"PA"|"400041N"|"0750428W"|"33"|"Frankford"|""|"01-OCT-2012"
"Carpenter Woods"|"1171250"|"Park"|"Philadelphia"|"PA"|"400247N"|"0751202W"|"299"|"Germantown"|""|"02-AUG-1979"
"Cassiano Park"|"2741332"|"Park"|"Philadelphia"|"PA"|"395909N"|"0750823W"|"62"|"Philadelphia"|""|"01-OCT-2012"
"Cedar Park"|"2741334"|"Park"|"Philadelphia"|"PA"|"395654N"|"0751323W"|"102"|"Philadelphia"|""|"01-OCT-2012"
"Chalfont Playground"|"2741545"|"Park"|"Philadelphia"|"PA"|"400445N"|"0745828W"|"49"|"Beverly"|""|"09-OCT-2012"
"Cherashore Playground"|"2741546"|"Park"|"Philadelphia"|"PA"|"400217N"|"0750811W"|"135"|"Germantown"|""|"09-OCT-2012"
"Chew Playground"|"2741547"|"Park"|"Philadelphia"|"PA"|"395618N"|"0751027W"|"36"|"Philadelphia"|""|"09-OCT-2012"
"Christ Church Park"|"2741548"|"Park"|"Philadelphia"|"PA"|"395701N"|"0750838W"|"33"|"Philadelphia"|""|"09-OCT-2012"
"Cianfrani Park"|"2741550"|"Park"|"Philadelphia"|"PA"|"395627N"|"0750920W"|"36"|"Philadelphia"|""|"09-OCT-2012"
"Cibotti Playground"|"2741551"|"Park"|"Philadelphia"|"PA"|"395431N"|"0751457W"|"23"|"Philadelphia"|""|"09-OCT-2012"
"Citizens Bank Park"|"2044562"|"Park"|"Philadelphia"|"PA"|"395427N"|"0750954W"|"20"|"Philadelphia"|""|"23-AUG-2004"
"Clara Muhammad Square"|"1173639"|"Park"|"Philadelphia"|"PA"|"395816N"|"0751301W"|"105"|"Philadelphia"|""|"02-AUG-1979"
"Clark Park"|"1171914"|"Park"|"Philadelphia"|"PA"|"395650N"|"0751236W"|"39"|"Philadelphia"|""|"02-AUG-1979"
"Clarkson Park"|"2741552"|"Park"|"Philadelphia"|"PA"|"400210N"|"0750842W"|"184"|"Germantown"|""|"09-OCT-2012"
"Claybord and Lewis Playground"|"2741553"|"Park"|"Philadelphia"|"PA"|"395825N"|"0751156W"|"75"|"Philadelphia"|""|"09-OCT-2012"
"Clearview Park"|"2741554"|"Park"|"Philadelphia"|"PA"|"395430N"|"0751445W"|"30"|"Philadelphia"|""|"09-OCT-2012"
"Clemente Playground"|"2741555"|"Park"|"Philadelphia"|"PA"|"395757N"|"0751006W"|"89"|"Philadelphia"|""|"09-OCT-2012"
"Clifford Park"|"1172001"|"Park"|"Philadelphia"|"PA"|"400202N"|"0751123W"|"217"|"Germantown"|""|"02-AUG-1979"
"Cliveden Park"|"1172022"|"Park"|"Philadelphia"|"PA"|"400306N"|"0751037W"|"269"|"Germantown"|""|"02-AUG-1979"
"Cloverly Park"|"1172036"|"Park"|"Philadelphia"|"PA"|"400132N"|"0751050W"|"246"|"Germantown"|""|"02-AUG-1979"
"Cobbs Creek Park"|"1172100"|"Park"|"Philadelphia"|"PA"|"395808N"|"0751557W"|"141"|"Lansdowne"|""|"02-AUG-1979"
"Cohocksink Recreation Center"|"1207918"|"Park"|"Philadelphia"|"PA"|"395903N"|"0750647W"|"20"|"Camden"|""|"01-MAR-1990"
"Conestoga Community Playground"|"2741556"|"Park"|"Philadelphia"|"PA"|"395831N"|"0751343W"|"121"|"Philadelphia"|""|"09-OCT-2012"
